ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
ROIC,1407623,ROIC,Retail Opportunity Investments Corp,Real Estate,REITs,Small cap,0.6,46.3
PRGS,876167,PRGS,Progress Software Corp,Information Technology,Common stocks,Mid cap,5.8,46.3
MPLN,1793229,MPLN,MultiPlan Corporation Class A,Health Care,Common stocks,Small cap,2.8,46.3
ARCB,894405,ARCB,ArcBest Corporation,Industrials,Common stocks,Mid cap,2.7,46.3
DRH,1298946,DRH,DiamondRock Hospitality Company,Real Estate,REITs,Small cap,0.6,46.3
CENT,887733,CENT,Central Garden And Pet,Consumer Staples,Common stocks,Small cap,2.6,46.3
ARHS,1875444,ARHS,"Arhaus, Inc.",Consumer Discretionary,Common stocks,Small cap,2.9,46.3
RVNC,1479290,RVNC,Revance Therapeutics Inc,Health Care,Common stocks,Mid cap,2.8,46.3
PSMT,1041803,PSMT,Pricesmart Inc,Consumer Staples,Common stocks,Mid cap,2.6,46.3
MCY,64996,MCY,Mercury General Corp,Financials,Common stocks,Small cap,2.7,46.3
CEQP,1136352,CEQP,Crestwood Equity Partners LP,Energy,MLPs,Mid cap,2.2,46.3
VTYX,1851194,VTYX,"Ventyx Biosciences, Inc.",Health Care,Common stocks,Mid cap,2.8,46.3
PAX,1825570,PAX,Patria Investments Ltd,Financials,Common stocks,Small cap,2.7,46.3
RCUS,1724521,RCUS,Arcus Biosciences Inc,Health Care,Common stocks,Small cap,2.8,46.3
FTDR,1727263,FTDR,Frontdoor Inc,Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
CVCO,278166,CVCO,Cavco Industries Inc,Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
CRCT,1828962,CRCT,"Cricut, Inc.",Consumer Discretionary,Common stocks,Small cap,2.9,46.3
WEBR,1857951,WEBR,Weber Inc.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
SKIN,1818093,SKIN,The Beauty Health Company - Class A,Consumer Staples,Common stocks,Small cap,2.6,46.3
KMT,55242,KMT,Kennametal Inc,Industrials,Common stocks,Mid cap,2.7,46.3
OMI,75252,OMI,Owens & Minor Inc,Health Care,Common stocks,Small cap,2.8,46.3
HTLF,920112,HTLF,Heartland Financial USA Inc,Financials,Common stocks,Small cap,2.7,46.3
YOU,1856314,YOU,"Clear Secure, Inc.",Information Technology,Common stocks,Mid cap,5.8,46.3
VCTR,1570827,VCTR,"Victory Capital Holdings, Inc. Class A",Financials,Common stocks,Small cap,2.7,46.3
ENR,1632790,ENR,Energizer Holdings Inc,Consumer Staples,Common stocks,Mid cap,2.6,46.3
NPO,1164863,NPO,Enpro Industries Inc,Industrials,Common stocks,Mid cap,2.7,46.3
IOVA,1425205,IOVA,Iovance Biotherapeutics Inc,Health Care,Common stocks,Small cap,2.8,46.3
ODP,800240,ODP,Office Depot Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
SBCF,730708,SBCF,Seacoast Banking Of Florida,Financials,Common stocks,Mid cap,2.7,46.3
CTKB,1831915,CTKB,"Cytek BioSciences, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
GMS,1600438,GMS,GMS Inc.,Industrials,Common stocks,Mid cap,2.7,46.3
DSEY,1831617,DSEY,"Diversey Holdings, Ltd.",Materials,Common stocks,Mid cap,0.9,46.3
PTVE,1527508,PTVE,Pactiv Evergreen Inc.,Materials,Common stocks,Small cap,0.9,46.3
RNST,715072,RNST,Renasant Corp,Financials,Common stocks,Small cap,2.7,46.3
XHR,1616000,XHR,"Xenia Hotels & Resorts, Inc",Real Estate,REITs,Small cap,0.6,46.3
SUPN,1356576,SUPN,Supernus Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
AGIO,1439222,AGIO,Agios Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
TELL,61398,TELL,Tellurian Inc,Energy,Common stocks,Small cap,2.2,46.3
BLMN,1546417,BLMN,Bloomin Brands Inc,Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
GFF,50725,GFF,Griffon Corp,Industrials,Common stocks,Small cap,2.7,46.3
NUS,1021561,NUS,Nu Skin Enterprises Inc,Consumer Staples,Common stocks,Small cap,2.6,46.3
EXPI,1495932,EXPI,eXp World Holdings Inc.,Real Estate,Common stocks,Small cap,0.6,46.3
CIM,1409493,CIM,Chimera Investment Corp,Financials,Mortgage REITs,Small cap,2.7,46.3
GOGL,1029145,GOGL,Golden Ocean Group Ltd,Industrials,Common stocks,Small cap,2.7,46.3
MLKN,66382,MLKN,"MillerKnoll, Inc.",Industrials,Common stocks,Small cap,2.7,46.3
SITM,1451809,SITM,SiTime Corporation,Information Technology,Common stocks,Mid cap,5.8,46.3
FLNG,1772253,FLNG,FLEX LNG Ltd.,Energy,Common stocks,Small cap,2.2,46.3
XPEL,1767258,XPEL,"XPEL, Inc.",Consumer Discretionary,Common stocks,Small cap,2.9,46.3
MYOV,1679082,MYOV,Myovant Sciences Ltd.,Health Care,Common stocks,Mid cap,2.8,46.3
BBU,1654795,BBU,Brookfield Business Partners L.P.,Real Estate,MLPs,Small cap,0.6,46.3
SYBT,835324,SYBT,Stock Yards Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
AEO,919012,AEO,American Eagle Outfitters Inc,Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
PLAY,1525769,PLAY,Dave & Busters Entertainment Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
AMPL,1866692,AMPL,"Amplitude, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
FRPT,1611647,FRPT,Freshpet Inc,Consumer Staples,Common stocks,Mid cap,2.6,46.3
BUR,1714174,BUR,Burford Capital Limited,Financials,Common stocks,Small cap,2.7,46.3
RVLV,1746618,RVLV,"Revolve Group, Inc. Class A",Consumer Discretionary,Common stocks,Small cap,2.9,46.3
NABL,1834488,NABL,"N-able, Inc.",Information Technology,Common stocks,Mid cap,5.8,46.3
CVAC,1809122,CVAC,CureVac N.V.,Health Care,Common stocks,Small cap,2.8,46.3
NMIH,1547903,NMIH,NMI Holdings Inc,Financials,Common stocks,Small cap,2.7,46.3
PFS,1178970,PFS,Provident Financial Services Inc,Financials,Common stocks,Small cap,2.7,46.3
UE,1611547,UE,Urban Edge Properties,Real Estate,REITs,Small cap,0.6,46.3
TDS,1051512,TDS,Telephone And Data Systems Inc,Communication Services,Common stocks,Small cap,1.6,46.3
TSP,1823593,TSP,TuSimple Holdings Inc.,Industrials,Common stocks,Micro cap,2.7,46.3
IVT,1307748,IVT,InvenTrust Properties Corp.,Real Estate,Common stocks,Small cap,0.6,46.3
IRWD,1446847,IRWD,Ironwood Pharma Inc,Health Care,Common stocks,Small cap,2.8,46.3
SASR,824410,SASR,Sandy Spring Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
GTN,43196,GTN,Gray Television Inc,Communication Services,Common stocks,Small cap,1.6,46.3
EFSC,1025835,EFSC,Enterprise Financial Services Corp,Financials,Common stocks,Small cap,2.7,46.3
NWBI,1471265,NWBI,Northwest Bancshares Inc,Financials,Common stocks,Small cap,2.7,46.3
TRMD,1655891,TRMD,Torm Plc - Class A,Industrials,Common stocks,Small cap,2.7,46.3
DOOR,893691,DOOR,Masonite International Corp,Industrials,Common stocks,Small cap,2.7,46.3
KRYS,1711279,KRYS,Krystal Biotech Inc,Health Care,Common stocks,Small cap,2.8,46.3
TTGT,1293282,TTGT,Techtarget Inc,Communication Services,Common stocks,Small cap,1.6,46.3
CRS,17843,CRS,Carpenter Technology Corp,Materials,Common stocks,Small cap,0.9,46.3
CSGS,1005757,CSGS,Csg Systems International Inc,Information Technology,Common stocks,Small cap,5.8,46.3
JACK,807882,JACK,Jack In The Box Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
OTLY,1843586,OTLY,Oatly Group AB ADRs,Consumer Staples,ADRs,Small cap,2.6,46.3
TALO,1724965,TALO,Talos Energy Inc.,Energy,Common stocks,Small cap,2.2,46.3
BROS,1866581,BROS,Dutch Bros Inc.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
TPH,1561680,TPH,TRI Pointe Group Inc,Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
GPRE,1309402,GPRE,Green Plains Inc,Energy,Common stocks,Small cap,2.2,46.3
BBIO,1743881,BBIO,"BridgeBio Pharma, Inc.",Health Care,Common stocks,Mid cap,2.8,46.3
USAC,1522727,USAC,USA Compression Partners LP,Energy,MLPs,Small cap,2.2,46.3
TASK,1829864,TASK,"TaskUs, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
ALGT,1362468,ALGT,Allegiant Travel,Industrials,Common stocks,Small cap,2.7,46.3
NEOG,711377,NEOG,Neogen Corp,Health Care,Common stocks,Mid cap,2.8,46.3
HAIN,910406,HAIN,Hain Celestial Group Inc,Consumer Staples,Common stocks,Small cap,2.6,46.3
FTAI,1590364,FTAI,Fortress Transportation And Infrastructure Investors LLC,Industrials,Common stocks,Mid cap,2.7,46.3
NAPA,1835256,NAPA,"Duckhorn Portfolio, Inc.",Consumer Staples,Common stocks,Small cap,2.6,46.3
HIVE,1720424,HIVE,Hive Blockchain Technologies Ltd.,Information Technology,Common stocks,Micro cap,5.8,46.3
CAKE,887596,CAKE,Cheesecake Factory Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
RCII,933036,RCII,Rent-A-Center Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
MYGN,899923,MYGN,Myriad Genetics Inc,Health Care,Common stocks,Small cap,2.8,46.3
HOPE,1128361,HOPE,Hope Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
CSTM,1563411,CSTM,Constellium NV Class A,Materials,Common stocks,Mid cap,0.9,46.3
NVRO,1444380,NVRO,Nevro Corp,Health Care,Common stocks,Small cap,2.8,46.3
NS,1110805,NS,NuStar Energy LP,Energy,MLPs,Small cap,2.2,46.3
STEP,1796022,STEP,StepStone Group Inc. Class A,Financials,Common stocks,Small cap,2.7,46.3
APPS,317788,APPS,Digital Turbine Inc,Information Technology,Common stocks,Small cap,5.8,46.3
EXTR,1078271,EXTR,Extreme Networks Inc,Information Technology,Common stocks,Mid cap,5.8,46.3
LRN,1157408,LRN,K12 Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
FREY,1844224,FREY,FREYR Battery,Industrials,Common stocks,Small cap,2.7,46.3
AVDX,1858257,AVDX,"AvidXchange Holdings, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
OLK,1835539,OLK,Olink Holding AB  ADRs,Health Care,ADRs,Mid cap,2.8,46.3
SNEX,913760,SNEX,StoneX Group Inc.,Financials,Common stocks,Small cap,2.7,46.3
KAHC,1843212,KAHC,KKR Acquisition Holdings I Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
MWA,1350593,MWA,Mueller Water Products Inc,Industrials,Common stocks,Mid cap,2.7,46.3
FIGS,1846576,FIGS,"FIGS, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
SLVM,1856485,SLVM,Sylvamo Corporation,Materials,Common stocks,Small cap,0.9,46.3
CVII,1828248,CVII,Churchill Capital Corp VII Class A,Financials,Common stocks,Small cap,2.7,46.3
NBTB,790359,NBTB,NBT Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
MNSO,1815846,MNSO,MINISO Group Holding Limited ADRs of Class A,Consumer Discretionary,ADRs,Mid cap,2.9,46.3
WRE,104894,WRE,Washington Real Estate Investment Trust,Real Estate,REITs,Small cap,0.6,46.3
PJT,1626115,PJT,PJT Partners Inc Class A,Financials,Common stocks,Small cap,2.7,46.3
INSW,1679049,INSW,International Seaways Inc,Energy,Common stocks,Mid cap,2.2,46.3
VRTV,1599489,VRTV,Veritiv Corp,Industrials,Common stocks,Small cap,2.7,46.3
NTB,1653242,NTB,Bank Of Nt Butterfield & Son Ltd,Financials,Common stocks,Small cap,2.7,46.3
CTOS,1709682,CTOS,"Custom Truck One Source, Inc.",Industrials,Common stocks,Small cap,2.7,46.3
LTC,887905,LTC,"LTC Properties, Inc",Real Estate,REITs,Small cap,0.6,46.3
COUR,1651562,COUR,"Coursera, Inc.",Consumer Discretionary,Common stocks,Small cap,2.9,46.3
HLIO,1024795,HLIO,"Helios Technologies, Inc.",Industrials,Common stocks,Mid cap,2.7,46.3
LNN,836157,LNN,Lindsay Corp,Industrials,Common stocks,Small cap,2.7,46.3
XNCR,1326732,XNCR,Xencor Inc,Health Care,Common stocks,Small cap,2.8,46.3
TVTX,1438533,TVTX,"Travere Therapeutics, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
INT,789460,INT,World Fuel Services Corp,Energy,Common stocks,Small cap,2.2,46.3
BKE,885245,BKE,Buckle Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
CNK,1385280,CNK,Cinemark Holdings Inc,Communication Services,Common stocks,Small cap,1.6,46.3
MRTN,799167,MRTN,Marten Transport Ltd,Industrials,Common stocks,Small cap,2.7,46.3
OR,1627272,OR,Osisko Gold Royalties Ltd,Consumer Staples,Common stocks,Mid cap,2.6,46.3
TWO,1465740,TWO,Two Harbors Investment Corp,Financials,Mortgage REITs,Small cap,2.7,46.3
ANGI,1705110,ANGI,ANGI Homeservices Inc. - Class A,Communication Services,Common stocks,Micro cap,1.6,46.3
RES,742278,RES,"RPC, Inc.",Energy,Common stocks,Small cap,2.2,46.3
AAT,1500217,AAT,"American Assets Trust, Inc",Real Estate,REITs,Small cap,0.6,46.3
SBGI,912752,SBGI,Sinclair Broadcast Group Inc Class A,Communication Services,Common stocks,Small cap,1.6,46.3
MTRN,1104657,MTRN,Materion Corp,Materials,Common stocks,Mid cap,0.9,46.3
DCT,1160951,DCT,Duck Creek Technologies,Information Technology,Common stocks,Mid cap,5.8,46.3
VSTO,1616318,VSTO,Vista Outdoor Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
GET,1867325,GET,Getnet Adquirencia e Servicos para Meios de Pagamento S.A. ADRs,Industrials,ADRs,Small cap,2.7,46.3
WRBY,1504776,WRBY,Warby Parker Inc.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
EVRI,1318568,EVRI,Everi Holdings Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
TLRY,1731348,TLRY,"Tilray, Inc. - Class 2",Health Care,Common stocks,Small cap,2.8,46.3
STRA,1013934,STRA,Strayer Education Inc,Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
SEMR,1831840,SEMR,"SEMrush Holdings, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
B,9984,B,Barnes Group Inc,Industrials,Common stocks,Small cap,2.7,46.3
IMKTA,50493,IMKTA,Ingles Markets Inc Class A,Consumer Staples,Common stocks,Small cap,2.6,46.3
GSHD,1726978,GSHD,Goosehead Insurance Inc.,Financials,Common stocks,Small cap,2.7,46.3
XPRO,1575828,XPRO,Expro Group Holdings N.V.,Energy,Common stocks,Small cap,2.2,46.3
MIR,1809987,MIR,"Mirion Technologies, Inc. Class A",Information Technology,Common stocks,Small cap,5.8,46.3
RFP,1393066,RFP,Resolute Forest Products Inc,Materials,Common stocks,Small cap,0.9,46.3
EVOP,1704596,EVOP,EVO Payments Inc.,Information Technology,Common stocks,Small cap,5.8,46.3
KAR,1395942,KAR,Kar Auction Services Inc,Industrials,Common stocks,Small cap,2.7,46.3
LOMA,1711375,LOMA,Loma Negra Compania Industrial Argentina SA ADRs,Materials,ADRs,Micro cap,0.9,46.3
MSEX,66004,MSEX,Middlesex Water,Utilities,Common stocks,Small cap,,
CYRX,1124524,CYRX,Cryoport Inc,Health Care,Common stocks,Small cap,2.8,46.3
IRBT,1159167,IRBT,iRobot Corporation,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
ARCO,1508478,ARCO,Arcos Dorados Holdings Inc Class A,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
ARI,1467760,ARI,Apollo Commercial Real Estate Finance,Financials,Mortgage REITs,Small cap,2.7,46.3
SILK,1397702,SILK,"Silk Road Medical, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
MAXR,1121142,MAXR,Maxar Technologies Ltd.,Industrials,Common stocks,Mid cap,2.7,46.3
SBH,1368458,SBH,Sally Beauty Holdings Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
BVN,1013131,BVN,Compania de Minas Buenaventura ADRs,Materials,ADRs,Mid cap,0.9,46.3
TEN,1024725,TEN,Tenneco Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
FCEL,886128,FCEL,Fuelcell Energy Inc,Industrials,Common stocks,Small cap,2.7,46.3
PTN,911216,PTN,Palatin Technologies Inc,Health Care,Common stocks,Micro cap,2.8,46.3
HLMN,1822492,HLMN,Hillman Solutions Corp. - Class A,Industrials,Common stocks,Small cap,2.7,46.3
AI,1577526,AI,"C3.ai, Inc. Class A",Information Technology,Common stocks,Mid cap,5.8,46.3
TBK,1539638,TBK,Triumph Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
PRAA,1185348,PRAA,PRA Group Inc,Financials,Common stocks,Small cap,2.7,46.3
XPER,1803696,XPER,Xperi Corp,Information Technology,Common stocks,Small cap,5.8,46.3
SKT,899715,SKT,"Tanger Factory Outlet Centers, Inc",Real Estate,REITs,Small cap,0.6,46.3
PRM,1880319,PRM,"Perimeter Solutions, SA",Materials,Common stocks,Small cap,0.9,46.3
MUX,314203,MUX,McEwen Mining Inc.,Materials,Common stocks,Small cap,0.9,46.3
LOB,1462120,LOB,Live Oak Bancshares Inc,Financials,Common stocks,Small cap,2.7,46.3
GCMG,1819796,GCMG,GCM Grosvenor Inc. - Class A,Financials,Common stocks,Small cap,2.7,46.3
ALG,897077,ALG,Alamo Group Inc,Industrials,Common stocks,Mid cap,2.7,46.3
TTMI,1116942,TTMI,Ttm Technologies Inc,Information Technology,Common stocks,Small cap,5.8,46.3
WWW,110471,WWW,Wolverine World Wide Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
RVMD,1628171,RVMD,"Revolution Medicines, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
DEA,1622194,DEA,"Easterly Government Properties, Inc",Real Estate,REITs,Small cap,0.6,46.3
MODV,1220754,MODV,ModivCare Inc.,Health Care,Common stocks,Small cap,2.8,46.3
LMND,1691421,LMND,"Lemonade, Inc.",Financials,Common stocks,Small cap,2.7,46.3
LILA,1712184,LILA,Liberty Latin America Class A,Communication Services,Common stocks,Small cap,1.6,46.3
ME,1804591,ME,23andMe Holding Co.,Health Care,Common stocks,Small cap,2.8,46.3
MD,893949,MD,Mednax Inc,Health Care,Common stocks,Small cap,2.8,46.3
LGND,886163,LGND,Ligand Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
PGRE,1605607,PGRE,"Paramount Group, Inc",Real Estate,REITs,Small cap,0.6,46.3
EGBN,1050441,EGBN,Eagle Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
OXM,75288,OXM,Oxford Industries Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
SWTX,1773427,SWTX,"SpringWorks Therapeutics, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
BGCP,1094831,BGCP,BGC Partners Inc Class A,Financials,Common stocks,Small cap,2.7,46.3
MYRG,700923,MYRG,Myr Group Inc,Industrials,Common stocks,Small cap,2.7,46.3
ROAD,1718227,ROAD,"Construction Partners, Inc.",Industrials,Common stocks,Small cap,2.7,46.3
SOVO,1856608,SOVO,"Sovos Brands, Inc.",Consumer Staples,Common stocks,Small cap,2.6,46.3
HMN,850141,HMN,Horace Mann Educators Corp,Financials,Common stocks,Small cap,2.7,46.3
PCVX,1649094,PCVX,"Vaxcyte, Inc.",Health Care,Common stocks,Mid cap,2.8,46.3
ESTA,1688757,ESTA,Establishment Labs Holdings Inc.,Health Care,Common stocks,Small cap,2.8,46.3
MNRO,876427,MNRO,Monro Inc.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
JBI,1839839,JBI,"Janus International Group, Inc.",Industrials,Common stocks,Small cap,2.7,46.3
ECPG,1084961,ECPG,Encore Capital Group Inc,Financials,Common stocks,Small cap,2.7,46.3
IHRT,1400891,IHRT,"iHeartMedia, Inc. - Class A",Communication Services,Common stocks,Small cap,1.6,46.3
KYMR,1815442,KYMR,"Kymera Therapeutics, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
PDM,1042776,PDM,"Piedmont Office Realty Trust, Inc",Real Estate,REITs,Small cap,0.6,46.3
MMI,1578732,MMI,Marcus & Millichap Inc,Real Estate,Common stocks,Small cap,0.6,46.3
OSIS,1039065,OSIS,"OSI Systems, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
NWN,1733998,NWN,Northwest Natural Gas,Utilities,Common stocks,Small cap,,
CCS,1576940,CCS,Century Communities Inc,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
PHR,1412408,PHR,"Phreesia, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
PAY,1841156,PAY,"Paymentus Holdings, Inc.",Information Technology,Common stocks,Micro cap,5.8,46.3
HCC,1691303,HCC,Warrior Met Coal Inc,Materials,Common stocks,Small cap,0.9,46.3
VBTX,1501570,VBTX,Veritex Holdings Inc,Financials,Common stocks,Small cap,2.7,46.3
TGH,1413159,TGH,Textainer Group Holdings Ltd,Industrials,Common stocks,Small cap,2.7,46.3
WABC,311094,WABC,Westamerica Bancorporation,Financials,Common stocks,Small cap,2.7,46.3
SATS,1415404,SATS,Echostar Corp Class A,Communication Services,Common stocks,Small cap,1.6,46.3
DHT,1331284,DHT,DHT Holdings Inc,Energy,Common stocks,Small cap,2.2,46.3
LXU,60714,LXU,Lsb Industries Inc,Materials,Common stocks,Small cap,0.9,46.3
WOW,1701051,WOW,Wideopenwest,Communication Services,Common stocks,Small cap,1.6,46.3
PACB,1299130,PACB,Pacific Biosciences Of California,Health Care,Common stocks,Mid cap,2.8,46.3
SFL,1289877,SFL,Ship Finance International Ltd,Energy,Common stocks,Small cap,2.2,46.3
ADUS,1468328,ADUS,Addus Homecare Corp,Health Care,Common stocks,Small cap,2.8,46.3
TMDX,1756262,TMDX,"TransMedics Group, Inc.",Health Care,Common stocks,Mid cap,2.8,46.3
NG,1173420,NG,Novagold Resources Inc.,Materials,Common stocks,Small cap,0.9,46.3
SCHL,866729,SCHL,Scholastic Corp,Communication Services,Common stocks,Small cap,1.6,46.3
ALKT,1529274,ALKT,"Alkami Technology, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
CGC,1737927,CGC,Canopy Growth Corporation,Health Care,Common stocks,Small cap,2.8,46.3
FORTY,1045986,FORTY,Formula Systems (1985) Ltd. ADRs,Information Technology,ADRs,Small cap,5.8,46.3
WBX,1866501,WBX,Wallbox N.V. Class A,Information Technology,Common stocks,Small cap,5.8,46.3
ERII,1421517,ERII,Energy Recovery Inc,Industrials,Common stocks,Small cap,2.7,46.3
IPOF,1818873,IPOF,Social Capital Hedosophia Holdings Corp. VI Class A,Financials,Common stocks,Small cap,2.7,46.3
HURN,1289848,HURN,Huron Consulting Group Inc,Industrials,Common stocks,Small cap,2.7,46.3
TH,1712189,TH,Target Hospitality Corp.,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
EAF,931148,EAF,Graftech International Ltd.,Industrials,Common stocks,Small cap,2.7,46.3
ACVA,1637873,ACVA,ACV Auctions Inc.,Industrials,Common stocks,Small cap,2.7,46.3
AMK,1591587,AMK,"AssetMark Financial Holdings, Inc.",Financials,Common stocks,Mid cap,2.7,46.3
FNA,1531978,FNA,"Paragon 28, Inc.",Health Care,Common stocks,Small cap,2.8,46.3
GEL,1022321,GEL,Genesis Energy LP,Energy,MLPs,Small cap,2.2,46.3
PTNR,1096691,PTNR,Partner Communications ADRs,Communication Services,ADRs,Small cap,1.6,46.3
BHLB,1108134,BHLB,Berkshire Hills Bancorp Inc,Financials,Common stocks,Small cap,2.7,46.3
EVBG,1437352,EVBG,Everbridge Inc,Information Technology,Common stocks,Small cap,5.8,46.3
MEI,65270,MEI,Methode Electronics Inc,Information Technology,Common stocks,Small cap,5.8,46.3
CLDX,744218,CLDX,Celldex Therapeutics Inc,Health Care,Common stocks,Small cap,2.8,46.3
VGR,59440,VGR,Vector Group Ltd,Consumer Staples,Common stocks,Small cap,2.6,46.3
VRTS,883237,VRTS,Virtus Investment Partners Inc,Financials,Common stocks,Small cap,2.7,46.3
PAM,1469395,PAM,Pampa Energia ADRs,Utilities,ADRs,Small cap,,
MED,910329,MED,Medifast Inc,Consumer Staples,Common stocks,Small cap,2.6,46.3
DAWN,1845337,DAWN,Day One Biopharmaceuticals Holding Co LLC,Health Care,Common stocks,Small cap,2.8,46.3
PMT,1464423,PMT,PennyMac Mortgage Investment Trust,Financials,Mortgage REITs,Small cap,2.7,46.3
CPRX,1369568,CPRX,Catalyst Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
TCBK,356171,TCBK,Trico Bancshares,Financials,Common stocks,Small cap,2.7,46.3
OPK,944809,OPK,Opko Health Inc,Health Care,Common stocks,Small cap,2.8,46.3
AMPH,1297184,AMPH,Amphastar Pharmaceuticals Inc,Health Care,Common stocks,Small cap,2.8,46.3
TDCX,1803112,TDCX,TDCX Inc. ADRs of Class A,Industrials,ADRs,Micro cap,2.7,46.3
KRNT,1625791,KRNT,Kornit Digital Ltd,Industrials,Common stocks,Small cap,2.7,46.3
VVNT,1713952,VVNT,"Vivint Smart Home, Inc.",Consumer Discretionary,Common stocks,Mid cap,2.9,46.3
PRTA,1559053,PRTA,Prothena Plc,Health Care,Common stocks,Mid cap,2.8,46.3
VIVO,794172,VIVO,Meridian Bioscience Inc,Health Care,Common stocks,Small cap,2.8,46.3
BDN,790816,BDN,Brandywine Realty Trust,Real Estate,REITs,Small cap,0.6,46.3
IDCC,1405495,IDCC,Interdigital Inc,Information Technology,Common stocks,Mid cap,5.8,46.3
VCYT,1384101,VCYT,Veracyte Inc,Health Care,Common stocks,Small cap,2.8,46.3
ZETA,1851003,ZETA,Zeta Global Holdings Corp.,Information Technology,Common stocks,Small cap,5.8,46.3
CLNE,1368265,CLNE,Clean Energy Fuels Corp,Energy,Common stocks,Small cap,2.2,46.3
DVAX,1029142,DVAX,Dynavax Technologies Corp,Health Care,Common stocks,Small cap,2.8,46.3
RAMP,733269,RAMP,Liveramp Holdings Inc,Information Technology,Common stocks,Small cap,5.8,46.3
CTS,26058,CTS,Cts Corp,Information Technology,Common stocks,Small cap,5.8,46.3
LADR,1577670,LADR,Ladder Capital Corp Class A,Financials,Mortgage REITs,Small cap,2.7,46.3
FORG,1543916,FORG,"ForgeRock, Inc.",Information Technology,Common stocks,Small cap,5.8,46.3
DAC,1369241,DAC,Danaos Corporation,Industrials,Common stocks,Small cap,2.7,46.3
MLNK,1834494,MLNK,"Project Angel Parent, LLC",Information Technology,Common stocks,Small cap,5.8,46.3
KRO,1257640,KRO,Kronos Worldwide Inc,Materials,Common stocks,Small cap,0.9,46.3
CWH,1669779,CWH,Camping World Holdings Inc Class A,Consumer Discretionary,Common stocks,Small cap,2.9,46.3
AIV,922864,AIV,Apartment Investment and Management Company,Real Estate,REITs,Small cap,0.6,46.3
KIND,1846069,KIND,"Nextdoor Holdings, Inc. Class A",Communication Services,Common stocks,Small cap,1.6,46.3
BAMR,1837429,BAMR,Brookfield Asset Management Reinsurance Partners Ltd. Class A,Financials,Common stocks,Small cap,2.7,46.3
GTY,1052752,GTY,Getty Realty Corp,Real Estate,REITs,Small cap,0.6,46.3
CLFD,796505,CLFD,Clearfield Inc,Information Technology,Common stocks,Small cap,5.8,46.3
SWI,1739942,SWI,Solarwinds Corporation,Information Technology,Common stocks,Small cap,5.8,46.3
