ticker,cik,symbol,description,gics_sector,equity_securities,cap_size,sector_revenue_total_(trillions),total_cap_(trillions)
RGC,1829667,RGC,Regencell Bioscience Holdings Ltd,Health Care,Common stocks,Small cap,2.8,46.3
ILPT,1717307,ILPT,Industrial Logistics Properties Trust,Real Estate,REITs,Micro cap,0.6,46.3
FICV,1855693,FICV,Frontier Investment Corp Class A,Financials,Common stocks,Micro cap,2.7,46.3
CCNE,736772,CCNE,CNB Financial Corp,Financials,Common stocks,Small cap,2.7,46.3
CPAR,1848410,CPAR,Catalyst Partners Acquisition Corp. - Class A,Financials,Common stocks,Unknown,2.7,46.3
SGH,1616533,SGH,Smart Global Holdings,Information Technology,Common stocks,Small cap,5.8,46.3
PCPC,1824993,PCPC,Periphas Capital Partnering Corporation Class A,Financials,Common stocks,Small cap,2.7,46.3
CSTR,1676479,CSTR,Capstar Financial Holdings Inc,Financials,Common stocks,Small cap,2.7,46.3
RBBN,1708055,RBBN,Ribbon Communications Inc.,Information Technology,Common stocks,Small cap,5.8,46.3
TPGY,1819399,TPGY,TPG Pace Beneficial Finance Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
VPG,1487952,VPG,Vishay Precision Group Inc,Information Technology,Common stocks,Small cap,5.8,46.3
ICNC,1858351,ICNC,Iconic Sports Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
RMNI,1635282,RMNI,Rimini Street Inc,Information Technology,Common stocks,Small cap,5.8,46.3
TUP,1008654,TUP,Tupperware Brands Corp,Consumer Discretionary,Common stocks,Micro cap,2.9,46.3
TWLV,1819498,TWLV,Twelve Seas Investment Company II Class A,Financials,Common stocks,Small cap,2.7,46.3
ERES,1814287,ERES,East Resources Acquisition Company - Class A,Financials,Common stocks,Micro cap,2.7,46.3
DOYU,1762417,DOYU,DouYu International Holdings Limited ADRs,Communication Services,ADRs,Small cap,1.6,46.3
RLYB,1739410,RLYB,Rallybio Corp,Health Care,Common stocks,Micro cap,2.8,46.3
TPB,1290677,TPB,Turning Point Brands Inc,Consumer Staples,Common stocks,Small cap,2.6,46.3
CPAA,1841137,CPAA,Conyers Park III Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
NDAC,1837067,NDAC,NightDragon Acquisition Corp. Class A,Financials,Common stocks,Unknown,2.7,46.3
TREE,1434621,TREE,Lendingtree Inc,Financials,Common stocks,Small cap,2.7,46.3
ARCT,1768224,ARCT,Arcturus Therapeutics Ltd.,Health Care,Common stocks,Small cap,2.8,46.3
SRDX,924717,SRDX,Surmodics Inc,Health Care,Common stocks,Micro cap,2.8,46.3
LUXA,1823767,LUXA,Lux Health Tech Acquisition Corp. - Class A,Financials,Common stocks,Unknown,2.7,46.3
SENEA,88948,SENEA,Seneca Foods Corp Class A,Consumer Staples,Common stocks,Small cap,2.6,46.3
CNDB,1851961,CNDB,Concord Acquisition Corp III,Financials,Common stocks,Small cap,2.7,46.3
RMR,1644378,RMR,RMR Group Inc Class A,Real Estate,Common stocks,Small cap,0.6,46.3
CPSI,1169445,CPSI,Computer Programs And Systems Inc,Health Care,Common stocks,Small cap,2.8,46.3
FRXB,1840161,FRXB,Forest Road Acquisition Corp. II Class A,Financials,Common stocks,Small cap,2.7,46.3
PSPC,1843716,PSPC,Post Holdings Partnering Corporation Series A,Financials,Common stocks,Small cap,2.7,46.3
GFX,1823896,GFX,Golden Falcon Acquisition Corp. Class A,Financials,Common stocks,Small cap,2.7,46.3
