symbol,description,gics_sector,equity_securities,cap_size
LICY,Li-Cycle Holdings Corp.,Industrials,Common stocks,Small cap
HCCI,Heritage Crystal Inc,Industrials,Common stocks,Small cap
PESI,Perma Fix Environmental Services I,Industrials,Common stocks,Micro cap
CHRA,Charah Solutions Inc.,Industrials,Common stocks,Micro cap
QRHC,Quest Resource Holding Corp,Industrials,Common stocks,Micro cap
AQMS,Aqua Metals Inc,Industrials,Common stocks,Micro cap
SMED,Sharps Compliance Corp,Health Care,Common stocks,Micro cap
AWX,Avalon Holdings Corporation,Industrials,Common stocks,Micro cap
CCNC,Code Chain New Continent Limited,Industrials,Common stocks,Micro cap
JAN,JanOne Inc.,Industrials,Common stocks,Micro cap
CEG,Constellation Energy Corporation,Utilities,Common stocks,Large cap
NEP,Nextera Energy Partners LP,Utilities,Common stocks,Large cap
BEP,Brookfield Renewable Partners L.P.,Utilities,MLPs,Mid cap
BEPC,Brookfield Renewable Corporation Class A,Utilities,Common stocks,Mid cap
AQN,Algonquin Power & Utilities Corp.,Utilities,Common stocks,Mid cap
ORA,Ormat Technologies,Utilities,Common stocks,Mid cap
CWEN,Clearway Energy Inc. Class C,Utilities,Common stocks,Mid cap
CWEN.A,Clearway Energy Inc. Class A,Utilities,Common stocks,Mid cap
AY,Atlantica Yield Plc,Utilities,Common stocks,Mid cap
LFG,Archaea Energy Inc. Class A,Energy,Common stocks,Mid cap
FLNC,"Fluence Energy, Inc.",Industrials,Common stocks,Small cap
RNW,ReNew Energy Global plc Class A,Utilities,Common stocks,Small cap
AMPS,"Altus Power, Inc. Class A",Utilities,Common stocks,Small cap
SMR,NuScale Power Corporation Class A,Industrials,Common stocks,Small cap
EE,"Excelerate Energy, Inc. Class A",Energy,Common stocks,Small cap
NRGV,"Energy Vault Holdings, Inc.",Industrials,Common stocks,Micro cap
ELLO,Ellomay Capital Ltd,Utilities,Common stocks,Micro cap
AZRE,Azure Power Global Limited Equity Shares,Utilities,Common stocks,Micro cap
ADN,"Advent Technologies Holdings, Inc. - Class A",Industrials,Common stocks,Micro cap
HLGN,"Heliogen, Inc.",Industrials,Common stocks,Micro cap
HTOO,Fusion Fuel Green PLC,Utilities,Common stocks,Micro cap
CREG,China Recycling Energy Corporation,Industrials,Common stocks,Micro cap
AWK,American Water Works Inc,Utilities,Common stocks,Large cap
WTRG,"Essential Utilities, Inc.",Utilities,Common stocks,Large cap
SBS,SABESP ADRs,Health Care,ADRs,Mid cap
ZWS,Zurn Water Solutions Corporation,Industrials,Common stocks,Mid cap
AWR,American States Water,Utilities,Common stocks,Mid cap
CWT,California Water Service Group,Utilities,Common stocks,Mid cap
SJW,SJW Group,Utilities,Common stocks,Mid cap
MSEX,Middlesex Water,Utilities,Common stocks,Small cap
YORW,York Water,Utilities,Common stocks,Small cap
ARTNA,Artesian Resources Corp Class A,Utilities,Common stocks,Small cap
GWRS,Global Water Resources Inc,Utilities,Common stocks,Micro cap
VWTR,"Vidler Water Resouces, Inc.",Industrials,Common stocks,Micro cap
ARIS,"Aris Water Solutions, Inc.",Industrials,Common stocks,Micro cap
CDZI,Cadiz Inc,Utilities,Common stocks,Micro cap
PCYO,Pure Cycle Corp,Utilities,Common stocks,Micro cap
CWCO,Consolidated Water Ltd,Utilities,Common stocks,Micro cap
CNP,Centerpoint Energy Inc,Utilities,Common stocks,Large cap
ATO,Atmos Energy Corp,Utilities,Common stocks,Large cap
NI,Nisource Inc,Utilities,Common stocks,Large cap
UGI,UGI Corp,Utilities,Common stocks,Mid cap
NFE,New Fortress Energy LLC - Class A,Energy,Common stocks,Mid cap
NJR,New Jersey Resources Corp,Utilities,Common stocks,Mid cap
OGS,One Gas Inc,Utilities,Common stocks,Mid cap
SWX,Southwest Gas Holdings Inc,Utilities,Common stocks,Mid cap
SR,Spire Inc,Utilities,Common stocks,Mid cap
CPK,Chesapeake Utilities Corp,Utilities,Common stocks,Mid cap
NWN,Northwest Natural Gas,Utilities,Common stocks,Small cap
SPH,Suburban Propane Partners LP,Utilities,MLPs,Small cap
RGCO,RGC Resources Inc,Utilities,Common stocks,Micro cap
NEE,Nextera Energy Inc,Utilities,Common stocks,Large cap
SO,Southern Co,Utilities,Common stocks,Large cap
DUK,Duke Energy Corp,Utilities,Common stocks,Large cap
AEP,American Electric Power Inc,Utilities,Common stocks,Large cap
