symbol,description,gics_sector,equity_securities,cap_size
ELVT,Elevate Credit Inc,Financials,Common stocks,Micro cap
SNTG,Sentage Holdings Inc.,Financials,Common stocks,Micro cap
SUNL,"Sunlight Financial Holdings, Inc. Class A",Financials,Common stocks,Micro cap
JT,Jianpu Technology Inc.  ADRs of Class A,Financials,ADRs,Micro cap
LYL,Dragon Victory International Limited,Financials,Common stocks,Micro cap
LMFA,Lm Funding America Inc,Financials,Common stocks,Micro cap
PT,Pintec Technology Holdings Limited ADRs of Class A,Information Technology,ADRs,Micro cap
AIHS,Senmiao Technology Limited,Financials,Common stocks,Micro cap
DXF,Dunxin Financial Holdings Limited ADRs,Financials,ADRs,Micro cap
M,Macys Inc.,Consumer Discretionary,Common stocks,Mid cap
DDS,Dillards Inc Class A,Consumer Discretionary,Common stocks,Mid cap
JWN,Nordstrom Inc,Consumer Discretionary,Common stocks,Mid cap
KSS,Kohls Corporation,Consumer Discretionary,Common stocks,Mid cap
ARKO,ARKO Corp.,Consumer Discretionary,Common stocks,Small cap
CBD,Companhia Brasileira de Distribuica ADRs,Consumer Staples,ADRs,Small cap
TMO,Thermo Fisher Scientific Inc,Health Care,Common stocks,Large cap
DHR,Danaher Corp,Health Care,Common stocks,Large cap
DXCM,Dexcom Inc,Health Care,Common stocks,Large cap
IDXX,Idexx Laboratories Inc,Health Care,Common stocks,Large cap
A,Agilent Technologies Inc,Health Care,Common stocks,Large cap
IQV,"IQVIA Holdings, Inc.",Health Care,Common stocks,Large cap
ILMN,Illumina Inc,Health Care,Common stocks,Large cap
MTD,Mettler Toledo Inc,Health Care,Common stocks,Large cap
LH,Laboratory Corporation Of America,Health Care,Common stocks,Large cap
WAT,Waters Corp,Health Care,Common stocks,Large cap
ICLR,Icon Plc,Health Care,Common stocks,Large cap
PKI,Perkinelmer Inc,Health Care,Common stocks,Large cap
DGX,Quest Diagnostics Inc,Health Care,Common stocks,Large cap
PHG,Koninklijke Philips NV ADRs,Industrials,ADRs,Large cap
EXAS,Exact Sciences Corp,Health Care,Common stocks,Large cap
QGEN,Qiagen Nv,Health Care,Common stocks,Large cap
CRL,Charles River Laboratories International,Health Care,Common stocks,Mid cap
NTRA,Natera Inc,Health Care,Common stocks,Mid cap
QDEL,Quidel Corp,Health Care,Common stocks,Mid cap
MEDP,Medpace Holdings Inc,Health Care,Common stocks,Mid cap
LNTH,Lantheus Holdings Inc,Health Care,Common stocks,Mid cap
SHC,Sotera Health Co,Health Care,Common stocks,Mid cap
OCDX,Ortho Clinical Diagnostics Holdings plc,Health Care,Common stocks,Mid cap
NEOG,Neogen Corp,Health Care,Common stocks,Mid cap
SYNH,Syneos Health Inc,Health Care,Common stocks,Mid cap
OLK,Olink Holding AB  ADRs,Health Care,ADRs,Mid cap
GH,Guardant Health Inc,Health Care,Common stocks,Mid cap
NEO,Neogenomics Inc,Health Care,Common stocks,Mid cap
PACB,Pacific Biosciences Of California,Health Care,Common stocks,Mid cap
MYGN,Myriad Genetics Inc,Health Care,Common stocks,Small cap
RDNT,"RadNet, Inc.",Health Care,Common stocks,Small cap
VIVO,Meridian Bioscience Inc,Health Care,Common stocks,Small cap
NRC,National Research Corporation,Health Care,Common stocks,Small cap
OPK,Opko Health Inc,Health Care,Common stocks,Small cap
HSKA,Heska Corp,Health Care,Common stocks,Small cap
TWST,Twist Bioscience Corporation,Health Care,Common stocks,Small cap
FLGT,Fulgent Genetics Inc,Health Care,Common stocks,Small cap
ME,23andMe Holding Co.,Health Care,Common stocks,Small cap
CSTL,"Castle Biosciences, Inc.",Health Care,Common stocks,Small cap
MXCT,"MaxCyte, Inc",Health Care,Common stocks,Small cap
CDNA,"CareDx, Inc.",Health Care,Common stocks,Small cap
SENS,Senseonics Holdings Inc,Health Care,Common stocks,Small cap
BNGO,Bionano Genomics Inc,Health Care,Common stocks,Small cap
NVTA,Invitae Corp,Health Care,Common stocks,Small cap
BNR,Burning Rock Biotech Limited ADRs,Health Care,ADRs,Micro cap
SRDX,Surmodics Inc,Health Care,Common stocks,Micro cap
CELC,Celcuity Inc.,Health Care,Common stocks,Micro cap
TTOO,T2 Biosystems Inc,Health Care,Common stocks,Micro cap
LAB,Standard BioTools Inc.,Health Care,Common stocks,Micro cap
ANIX,Anixa Biosciences Inc,Health Care,Common stocks,Micro cap
BDSX,"Biodesix, Inc.",Health Care,Common stocks,Micro cap
PSNL,"Personalis, Inc.",Health Care,Common stocks,Micro cap
CHEK,Check-Cap Ltd.,Health Care,Common stocks,Micro cap
SERA,"Sera Prognostics, Inc.",Health Care,Common stocks,Micro cap
DRIO,Dariohealth Corp.,Health Care,Common stocks,Micro cap
ENZ,Enzo Biochem Inc,Health Care,Common stocks,Micro cap
VNRX,Volitionrx Ltd,Health Care,Common stocks,Micro cap
DMTK,"DermTech, Inc.",Health Care,Common stocks,Micro cap
RNLX,Renalytix AI PLC ADRs,Health Care,ADRs,Micro cap
GTH,Genetron Holdings Limited ADRs,Health Care,ADRs,Micro cap
MYNZ,Mainz Biomed B.V.,Health Care,Common stocks,Micro cap
PRE,Prenetics Global Limited - Class A,Health Care,Common stocks,Micro cap
LHDX,"Lucira Health, Inc.",Health Care,Common stocks,Micro cap
STIM,Neuronetics Inc,Health Care,Common stocks,Micro cap
BVS,Bioventus Inc.,Health Care,Common stocks,Micro cap
OPGN,Opgen Inc,Health Care,Common stocks,Micro cap
AKU,Akumin Inc.,Health Care,Common stocks,Micro cap
AWH,Aspira Womens Health Inc.,Health Care,Common stocks,Micro cap
AXDX,Accelerate Diagnostics Inc,Health Care,Common stocks,Micro cap
MDXH,MDxHealth SA ADRs,Health Care,ADRs,Micro cap
CODX,Co-Diagnostics Inc.,Health Care,Common stocks,Micro cap
XGN,Exagen Inc.,Health Care,Common stocks,Micro cap
HTGM,Htg Molecular Diagnostics Inc,Health Care,Common stocks,Micro cap
QTNT,Quotient Ltd,Health Care,Common stocks,Micro cap
LMDX,LumiraDx Limited,Health Care,Common stocks,Micro cap
BMRA,Biomerica Inc.,Health Care,Common stocks,Micro cap
BWAY,Brainsway Ltd. ADRs,Information Technology,ADRs,Micro cap
PMD,Psychemedics Corp,Health Care,Common stocks,Micro cap
GENE,Genetic Technologies ADRs,Health Care,ADRs,Micro cap
CNTG,Centogene N.V.,Health Care,Common stocks,Micro cap
SLNO,Soleno Therapeutics Inc,Health Care,Common stocks,Micro cap
ONVO,Organovo Holdings Inc,Health Care,Common stocks,Micro cap
PRPO,"Precipio, Inc.",Health Care,Common stocks,Micro cap
CEMI,Chembio Diagnostics Inc,Health Care,Common stocks,Micro cap
ISPC,iSpecimen Inc.,Health Care,Common stocks,Micro cap
TRIB,Trinity Biotech PLC ADRs of Class A shares,Health Care,ADRs,Micro cap
NDRA,Endra Life Sciences Inc.,Health Care,Common stocks,Micro cap
SQL,SeqLL Inc.,Health Care,Common stocks,Micro cap
BIOC,Biocept Inc,Health Care,Common stocks,Micro cap
MOTS,Motus Gi Holdings Inc.,Health Care,Common stocks,Micro cap
CO,Global Cord Blood Corporation,Consumer Staples,Common stocks,Unknown
WMT,Walmart Stores Inc,Consumer Staples,Common stocks,Large cap
COST,Costco Wholesale Corp,Consumer Staples,Common stocks,Large cap
TGT,Target Corp,Consumer Discretionary,Common stocks,Large cap
DG,Dollar General Corp,Consumer Discretionary,Common stocks,Large cap
DLTR,Dollar Tree Inc,Consumer Discretionary,Common stocks,Large cap
BJ,BJs Wholesale Club Holdings Inc,Consumer Staples,Common stocks,Large cap
OLLI,Ollies Bargain Outlet Holdings Inc,Consumer Discretionary,Common stocks,Mid cap
PSMT,Pricesmart Inc,Consumer Staples,Common stocks,Mid cap
BIG,Big Lots Inc,Consumer Discretionary,Common stocks,Micro cap
JNJ,Johnson & Johnson,Health Care,Common stocks,Large cap
LLY,Eli Lilly,Health Care,Common stocks,Large cap
ABBV,Abbvie Inc,Health Care,Common stocks,Large cap
MRK,Merck & Co Inc,Health Care,Common stocks,Large cap
PFE,Pfizer Inc,Health Care,Common stocks,Large cap
AZN,AstraZeneca PLC ADRs,Health Care,ADRs,Large cap
NVS,Novartis AG ADRs,Health Care,ADRs,Large cap
BMY,Bristol Myers Squibb,Health Care,Common stocks,Large cap
SNY,Sanofi SA ADRs,Health Care,ADRs,Large cap
AMGN,Amgen Inc,Health Care,Common stocks,Large cap
GILD,Gilead Sciences Inc,Health Care,Common stocks,Large cap
GSK,GlaxoSmithKline PLC ADRs,Health Care,ADRs,Large cap
MRNA,"Moderna, Inc.",Health Care,Common stocks,Large cap
BIIB,Biogen Inc,Health Care,Common stocks,Large cap
HZNP,Horizon Pharma Plc,Health Care,Common stocks,Large cap
OGN,Organon & Co.,Health Care,Common stocks,Mid cap
GRFS,Grifols SA ADRs,Health Care,ADRs,Small cap
TSVT,"2seventy bio, Inc.",Health Care,Common stocks,Small cap
CRXT,"Clarus Therapeutics Holdings, Inc.",Health Care,Common stocks,Micro cap
ZTS,Zoetis Inc,Health Care,Common stocks,Large cap
TAK,Takeda Pharmaceutical Company Limited ADRs,Health Care,ADRs,Large cap
CTLT,Catalent Inc,Health Care,Common stocks,Large cap
VTRS,Viatris Inc.,Health Care,Common stocks,Large cap
TEVA,Teva Pharmaceutical Industries Ltd ADRs,Health Care,ADRs,Mid cap
RDY,Dr. Reddys Laboratories ADRs,Health Care,ADRs,Mid cap
PRGO,Perrigo Plc,Health Care,Common stocks,Mid cap
ELAN,Elanco Animal Health Incorporated,Health Care,Common stocks,Mid cap
EVO,Evotec SE ADRs,Consumer Discretionary,ADRs,Mid cap
BHC,Bausch Health Companies Inc.,Health Care,Common stocks,Mid cap
SNDL,Sundial Growers Inc.,Health Care,Common stocks,Mid cap
SUPN,Supernus Pharmaceuticals Inc,Health Care,Common stocks,Small cap
PCRX,Pacira Pharmaceuticals Inc,Health Care,Common stocks,Small cap
AMPH,Amphastar Pharmaceuticals Inc,Health Care,Common stocks,Small cap
EMBC,Embecta Corp.,Health Care,Common stocks,Small cap
IRWD,Ironwood Pharma Inc,Health Care,Common stocks,Small cap
TLRY,"Tilray, Inc. - Class 2",Health Care,Common stocks,Small cap
CGC,Canopy Growth Corporation,Health Care,Common stocks,Small cap
AMYT,Amryt Pharma plc ADRs,Health Care,ADRs,Small cap
TARO,Taro Pharmaceutical Industries Ltd,Health Care,Common stocks,Small cap
COLL,Collegium Pharmaceutical Inc,Health Care,Common stocks,Small cap
CRON,Cronos Group Inc.,Health Care,Common stocks,Small cap
CALT,Calliditas Therapeutics AB ADRs,Health Care,ADRs,Small cap
ANIP,Ani Pharmaceuticals Inc,Health Care,Common stocks,Small cap
AVDL,Avadel Pharmaceuticals PLC ADRs,Health Care,ADRs,Small cap
TCDA,Tricida Inc,Health Care,Common stocks,Small cap
PROC,"Procaps Group, S.A.",Health Care,Common stocks,Small cap
HROW,"Harrow Health, Inc.",Health Care,Common stocks,Small cap
EOLS,Evolus Inc.,Health Care,Common stocks,Small cap
EBS,Emergent Biosolutions Inc,Health Care,Common stocks,Small cap
RGC,Regencell Bioscience Holdings Ltd,Health Care,Common stocks,Small cap
PETQ,"PetIQ, Inc. Class A",Health Care,Common stocks,Small cap
EGRX,Eagle Pharmaceuticals Inc,Health Care,Common stocks,Small cap
AERI,Aerie Pharmaceuticals Inc,Health Care,Common stocks,Small cap
ASRT,Assertio Therapeutics Inc.,Health Care,Common stocks,Small cap
GHSI,"Guardion Health Sciences, Inc.",Consumer Staples,Common stocks,Small cap
RDUS,Radius Health Inc,Health Care,Common stocks,Micro cap
PAHC,Phibro Animal Health Corp Class A,Health Care,Common stocks,Micro cap
ORGO,Organogenesis Holdings Inc.  - Class A,Health Care,Common stocks,Micro cap
ACB,Aurora Cannabis Inc.,Health Care,Common stocks,Micro cap
ZOM,Zomedica Corp.,Health Care,Common stocks,Micro cap
OGI,Organigram Holdings Inc.,Health Care,Common stocks,Micro cap
AMRX,Amneal Pharmaceuticals Inc Class A,Health Care,Common stocks,Micro cap
KMDA,Kamada Ltd.,Health Care,Common stocks,Micro cap
OPTN,"OptiNose, Inc.",Health Care,Common stocks,Micro cap
RDHL,RedHill Biopharma ADRs,Health Care,ADRs,Micro cap
BGXX,Bright Green Corporation,Health Care,Common stocks,Micro cap
XXII,Century Group Inc,Consumer Staples,Common stocks,Micro cap
PRPH,Prophase Labs Inc,Health Care,Common stocks,Micro cap
IXHL,Incannex Healthcare Limited ADRs,Health Care,ADRs,Micro cap
DRRX,Durect Corp,Health Care,Common stocks,Micro cap
ENDP,Endo International Plc,Health Care,Common stocks,Micro cap
VERU,Veru Inc.,Consumer Staples,Common stocks,Micro cap
INCR,Intercure Ltd.,Health Care,Common stocks,Micro cap
SCTL,"Societal CDMO, Inc.",Health Care,Common stocks,Micro cap
GRVI,"Grove, Inc.",Consumer Staples,Common stocks,Micro cap
TKNO,"Alpha Teknova, Inc.",Health Care,Common stocks,Micro cap
THTX,Theratechnologies Inc.,Health Care,Common stocks,Micro cap
SLDB,Solid Biosciences Inc.,Health Care,Common stocks,Micro cap
LCI,Lannett Company Inc,Health Care,Common stocks,Micro cap
RLMD,"Relmada Therapeutics, Inc.",Health Care,Common stocks,Micro cap
VLNS,"The Valens Company, Inc.",Health Care,Common stocks,Micro cap
SCYX,Scynexis Inc,Health Care,Common stocks,Micro cap
HUGE,FSD Pharma Inc. - Class B Subordinate Voting Shares,Communication Services,Common stocks,Micro cap
HEXO,HEXO Corp.,Health Care,Common stocks,Micro cap
QLI,Qilian International Holding Group Ltd,Health Care,Common stocks,Micro cap
COSM,Cosmos Holdings Inc.,Health Care,Common stocks,Micro cap
AKAN,Akanda Corp,Health Care,Common stocks,Micro cap
TXMD,"TherapeuticsMD, Inc.",Health Care,Common stocks,Micro cap
CRDL,Cardiol Therapeutics Inc. - Class A,Health Care,Common stocks,Micro cap
HAPP,Happiness Biotech Group Limited,Health Care,Common stocks,Micro cap
CPIX,Cumberland Pharmaceuticals Inc,Health Care,Common stocks,Micro cap
NLTX,"Neoleukin Therapeutics, Inc.",Health Care,Common stocks,Micro cap
MDVL,"MedAvail Holdings, Inc.",Consumer Staples,Common stocks,Micro cap
FLGC,Flora Growth Corp.,Consumer Discretionary,Common stocks,Micro cap
ZYNE,Zynerba Pharmaceuticals Inc,Health Care,Common stocks,Micro cap
CPHI,China Pharma Holdings Inc.,Health Care,Common stocks,Micro cap
ADMP,Adamis Pharmaceuticals Corp,Health Care,Common stocks,Micro cap
SBFM,Sunshine Biopharma Inc.,Health Care,Common stocks,Micro cap
CLVR,Clever Leaves Holdings Inc.,Health Care,Common stocks,Micro cap
DERM,Journey Medical Corp,Health Care,Common stocks,Micro cap
BFRI,Biofrontera Inc.,Health Care,Common stocks,Micro cap
RMTI,Rockwell Medical Inc,Health Care,Common stocks,Micro cap
SISI,"Shineco, Inc.",Health Care,Common stocks,Micro cap
YCBD,"cbdMD, Inc.",Health Care,Common stocks,Micro cap
ATNX,Athenex Inc.,Health Care,Common stocks,Micro cap
JUPW,"Jupiter Wellness, Inc.",Consumer Staples,Common stocks,Micro cap
ALIM,Alimera Sciences Inc,Health Care,Common stocks,Micro cap
AGRX,Agile Therapeutics Inc,Health Care,Common stocks,Micro cap
EVOK,Evoke Pharma Inc,Health Care,Common stocks,Micro cap
IMCC,IM Cannabis Corp.,Consumer Discretionary,Common stocks,Micro cap
NEPT,Neptune Wellness Solutions Inc,Health Care,Common stocks,Micro cap
PRFX,PainReform Ltd.,Health Care,Common stocks,Micro cap
ACRX,Acelrx Pharmaceuticals Inc,Health Care,Common stocks,Micro cap
SNOA,Sonoma Pharmaceuticals Inc,Health Care,Common stocks,Micro cap
PLXP,PLx Pharma Inc.,Health Care,Common stocks,Micro cap
SXTC,"China SXT Pharmaceuticals, Inc.",Health Care,Common stocks,Micro cap
EDU,New Oriental Education & Technology ADRs,Consumer Discretionary,ADRs,Mid cap
LOPE,Grand Canyon Education Inc,Consumer Discretionary,Common stocks,Mid cap
TAL,TAL Education Group ADRs,Consumer Discretionary,ADRs,Mid cap
GHC,Graham Holdings Company Class B,Consumer Discretionary,Common stocks,Mid cap
STRA,Strayer Education Inc,Consumer Discretionary,Common stocks,Mid cap
CHGG,Chegg Inc,Consumer Discretionary,Common stocks,Small cap
LAUR,Laureate Education Inc Class A,Consumer Discretionary,Common stocks,Small cap
ATGE,Adtalem Global Education Inc,Consumer Discretionary,Common stocks,Small cap
LRN,K12 Inc,Consumer Discretionary,Common stocks,Small cap
COUR,"Coursera, Inc.",Consumer Discretionary,Common stocks,Small cap
UDMY,"Udemy, Inc.",Consumer Discretionary,Common stocks,Small cap
GOTU,GSX Techedu Inc. ADRs,Consumer Discretionary,ADRs,Small cap
PRDO,Perdoceo Education Corporation,Consumer Discretionary,Common stocks,Small cap
VTRU,Vitru Ltd,Consumer Staples,Common stocks,Small cap
TWOU,2U Inc,Consumer Discretionary,Common stocks,Small cap
AFYA,Afya Limited - Class A,Consumer Staples,Common stocks,Small cap
ARCE,Arco Platform Limited - Class A,Information Technology,Common stocks,Small cap
SKIL,Skillsoft Corp. Class A,Industrials,Common stocks,Small cap
UTI,Universal Technical Institute Inc,Consumer Discretionary,Common stocks,Micro cap
LINC,Lincoln Educational Services Corp,Consumer Discretionary,Common stocks,Micro cap
GNS,Genius Group Limited,Health Care,Common stocks,Micro cap
APEI,American Public Education Inc,Consumer Discretionary,Common stocks,Micro cap
REDU,RISE Education Cayman Ltd ADRs,Consumer Discretionary,ADRs,Micro cap
COE,China Online Education ADRs of Class A,Consumer Discretionary,ADRs,Micro cap
IH,iHuman Inc. ADRs of Class A,Consumer Discretionary,ADRs,Micro cap
VSTA,Vasta Platform Limited - Class A,Consumer Discretionary,Common stocks,Micro cap
AACG,ATA Creativity Global ADRs,Consumer Discretionary,ADRs,Micro cap
YQ,17 Education & Technology Group Inc. ADRs,Consumer Discretionary,ADRs,Micro cap
STG,Sunlands Online Education Group ADRs of Class A,Consumer Staples,ADRs,Micro cap
TEDU,Tarena International ADRs,Consumer Discretionary,ADRs,Micro cap
EDTK,Skillful Craftsman Education Technology Limited,Consumer Discretionary,Common stocks,Micro cap
ZVO,Zovio Inc.,Consumer Discretionary,Common stocks,Micro cap
RYB,RYB Education ADRs of Class A,Consumer Staples,ADRs,Micro cap
FEDU,Four Seasons Education (Cayman) Inc.  ADRs,Consumer Staples,ADRs,Micro cap
EEIQ,Elite Education Group International Ltd,Consumer Discretionary,Common stocks,Micro cap
BEDU,Bright Scholar Education Holdings Limited ADRs of Class A,Consumer Discretionary,ADRs,Micro cap
AIU,Meta Data Limited ADRs,Consumer Staples,ADRs,Micro cap
ZME,Zhangmen Education Inc. ADRs of Class A,Consumer Staples,ADRs,Micro cap
LXEH,"Lixiang Education Holding Co., Ltd.  ADRs",Consumer Discretionary,ADRs,Micro cap
CLEU,China Liberal Education Holdings Limited,Consumer Discretionary,Common stocks,Micro cap
WAFU,Wah Fu Education Group Limited,Consumer Discretionary,Common stocks,Micro cap
AMBO,Ambow Education Holding Ltd. ADRs of Class A,Consumer Staples,ADRs,Micro cap
FHS,"First High-School Education Group Co., Ltd. ADRs of Class A",Consumer Discretionary,ADRs,Micro cap
ASPU,Aspen Group Inc.,Consumer Discretionary,Common stocks,Micro cap
METX,Meten EdtechX Education Group Ltd.,Consumer Discretionary,Common stocks,Micro cap
HLG,Hailiang Education Group Inc. ADRs,Consumer Staples,ADRs,Unknown
ABB,ABB Ltd ADRs,Industrials,ADRs,Large cap
HUBB,Hubbell Inc,Industrials,Common stocks,Large cap
PLUG,Plug Power Inc,Industrials,Common stocks,Mid cap
NVT,Nvent Electric Plc,Industrials,Common stocks,Mid cap
AYI,Acuity Brands Inc,Industrials,Common stocks,Mid cap
VRT,"Vertiv Holdings, LLC Class A",Industrials,Common stocks,Mid cap
AEIS,Advanced Energy Industries Inc,Information Technology,Common stocks,Mid cap
BDC,Belden Inc,Information Technology,Common stocks,Mid cap
BE,Bloom Energy Corporation Class A,Industrials,Common stocks,Mid cap
BMI,Badger Meter Inc,Information Technology,Common stocks,Mid cap
ENS,Enersys,Industrials,Common stocks,Mid cap
WIRE,Encore Wire Corp,Industrials,Common stocks,Mid cap
HAYW,"Hayward Holdings, Inc.",Industrials,Common stocks,Mid cap
ENR,Energizer Holdings Inc,Consumer Staples,Common stocks,Mid cap
ENVX,Enovix Corporation,Industrials,Common stocks,Small cap
FCEL,Fuelcell Energy Inc,Industrials,Common stocks,Small cap
EAF,Graftech International Ltd.,Industrials,Common stocks,Small cap
HOLI,Hollysys Automation Technologies,Industrials,Common stocks,Small cap
FREY,FREYR Battery,Industrials,Common stocks,Small cap
AZZ,Azz Inc,Industrials,Common stocks,Small cap
PLPC,Preformed Line Products,Industrials,Common stocks,Small cap
KE,Kimball Electronics Inc,Information Technology,Common stocks,Small cap
SLDP,"Solid Power, Inc. - Class A",Consumer Discretionary,Common stocks,Small cap
BW,Babcock And Wilcox Enterprises Inc,Industrials,Common stocks,Small cap
POWL,Powell Industries Inc,Industrials,Common stocks,Small cap
NVX,NOVONIX Limited ADRs,Industrials,ADRs,Small cap
MVST,"Microvast Holdings, Inc.",Industrials,Common stocks,Small cap
DCFC,Tritium DCFC Limited,Industrials,Common stocks,Micro cap
GWH,"ESS Tech, Inc.",Industrials,Common stocks,Micro cap
CETY,Clean Energy Technologies Inc.,Industrials,Common stocks,Micro cap
EOSE,"Eos Energy Enterprises, Inc.",Industrials,Common stocks,Micro cap
ADSE,ADS-TEC Energy PLC,Industrials,Common stocks,Micro cap
FLUX,Flux Power Holdings Inc.,Industrials,Common stocks,Micro cap
NEOV,NeoVolta Inc,Energy,Common stocks,Micro cap
CBAT,"Cbak Energy Technology, Inc.",Information Technology,Common stocks,Micro cap
IPWR,Ideal Power Inc,Industrials,Common stocks,Micro cap
OESX,Orion Energy Systems Inc,Industrials,Common stocks,Micro cap
ESP,Espey Manufacturing And Electronic,Industrials,Common stocks,Micro cap
LTBR,Lightbridge Corp,Energy,Common stocks,Micro cap
RFIL,Rf Industries Ltd,Information Technology,Common stocks,Micro cap
XPON,Expion360 Inc.,Industrials,Common stocks,Micro cap
OPTT,Ocean Power Technologies Inc,Industrials,Common stocks,Micro cap
SVT,Servotronics Inc,Industrials,Common stocks,Micro cap
PPSI,Pioneer Power Solutions Inc,Industrials,Common stocks,Micro cap
APWC,Asia Pacific Wire & Cable Corporation Limited,Information Technology,Common stocks,Micro cap
POLA,Polar Power Inc,Industrials,Common stocks,Micro cap
APH,Amphenol Corp,Information Technology,Common stocks,Large cap
TEL,TE Connectivity Ltd,Information Technology,Common stocks,Large cap
GLW,Corning Inc,Information Technology,Common stocks,Large cap
JBL,Jabil Inc,Information Technology,Common stocks,Large cap
FLEX,Flex Ltd,Information Technology,Common stocks,Mid cap
LFUS,Littelfuse Inc,Information Technology,Common stocks,Mid cap
FN,Fabrinet,Information Technology,Common stocks,Mid cap
SANM,Sanmina Corp,Information Technology,Common stocks,Mid cap
ROG,Rogers Corp,Information Technology,Common stocks,Mid cap
PLXS,Plexus Corp,Information Technology,Common stocks,Mid cap
OSIS,"OSI Systems, Inc.",Information Technology,Common stocks,Small cap
MEI,Methode Electronics Inc,Information Technology,Common stocks,Small cap
CTS,Cts Corp,Information Technology,Common stocks,Small cap
VICR,Vicor Corp,Industrials,Common stocks,Small cap
TTMI,Ttm Technologies Inc,Information Technology,Common stocks,Small cap
CLS,Celestica,Information Technology,Common stocks,Small cap
BHE,Benchmark Electronics Inc,Information Technology,Common stocks,Small cap
WBX,Wallbox N.V. Class A,Information Technology,Common stocks,Small cap
ATC,Atotech Limited,Information Technology,Common stocks,Small cap
AMOT,Allied Motion Technologies Inc,Industrials,Common stocks,Small cap
BELFA,Bel Fuse Inc Class A,Information Technology,Common stocks,Small cap
BELFB,Bel Fuse Inc Class B,Information Technology,Common stocks,Small cap
LYTS,Lsi Industries Inc,Industrials,Common stocks,Small cap
RELL,Richardson Electronics Ltd,Information Technology,Common stocks,Micro cap
MMAT,Meta Materials Inc.,Information Technology,Common stocks,Micro cap
OUST,"Ouster, Inc.",Information Technology,Common stocks,Micro cap
NEON,Neonode Inc,Information Technology,Common stocks,Micro cap
KOPN,Kopin Corp,Information Technology,Common stocks,Micro cap
KULR,KULR Technology Group Inc,Industrials,Common stocks,Micro cap
REFR,Research Frontiers Inc,Information Technology,Common stocks,Micro cap
VIAO,VIA optronics AG ADRs,Information Technology,ADRs,Micro cap
LINK,"Interlink Electronics, Inc.",Information Technology,Common stocks,Micro cap
LPTH,Lightpath Technologies Inc Class A,Information Technology,Common stocks,Micro cap
DAIO,Data I O Corp,Information Technology,Common stocks,Micro cap
DSWL,Deswell Industries Inc.,Consumer Discretionary,Common stocks,Micro cap
CPSH,Cps Technologies Corp,Information Technology,Common stocks,Micro cap
NSYS,Nortech Systems Incorporated,Information Technology,Common stocks,Micro cap
ELTK,Eltek Ltd.,Information Technology,Common stocks,Micro cap
LGL,Lgl Group Inc,Information Technology,Common stocks,Micro cap
SGMA,Sigmatron International Inc,Information Technology,Common stocks,Micro cap
OST,"Ostin Technology Group Co., Ltd.",Information Technology,Common stocks,Micro cap
MTEK,Maris Tech Ltd.,Information Technology,Common stocks,Micro cap
IMTE,Integrated Media Technology Limited,Communication Services,Common stocks,Micro cap
ATVI,Activision Blizzard Inc,Communication Services,Common stocks,Large cap
SE,Sea Limited ADRs,Communication Services,ADRs,Large cap
EA,Electronic Arts Inc,Communication Services,Common stocks,Large cap
RBLX,Roblox Corp,Communication Services,Common stocks,Large cap
TTWO,Take Two Interactive Software Inc,Communication Services,Common stocks,Large cap
ZNGA,Zynga Inc,Communication Services,Common stocks,Mid cap
BILI,Bilibili Inc. ADRs,Communication Services,ADRs,Mid cap
PLTK,Playtika Holding Corp.,Communication Services,Common stocks,Mid cap
AVID,Avid Technology Inc,Information Technology,Common stocks,Small cap
GDEV,Nexters Inc.,Communication Services,Common stocks,Small cap
MYPS,"PLAYSTUDIOS, Inc.  - Class A",Communication Services,Common stocks,Small cap
DDI,"DoubleDown Interactive Co., Ltd. ADRs",Communication Services,ADRs,Small cap
NGMS,NeoGames S.A.,Consumer Discretionary,Common stocks,Small cap
GRVY,Gravity ADRs,Information Technology,ADRs,Small cap
SCPL,SciPlay Corporation - Class A,Communication Services,Common stocks,Small cap
INSE,Inspired Entertainment Inc,Consumer Discretionary,Common stocks,Small cap
SKLZ,Skillz Inc. Class A,Communication Services,Common stocks,Micro cap
EGLX,Enthusiast Gaming Holdings Inc.,Communication Services,Common stocks,Micro cap
GMGI,"Golden Matrix Group, Inc.",Communication Services,Common stocks,Micro cap
BRAG,Bragg Gaming Group Inc.,Communication Services,Common stocks,Micro cap
RNWK,Realnetworks Inc,Information Technology,Common stocks,Micro cap
GAME,"Engine Media Holdings, Inc.",Communication Services,Common stocks,Micro cap
NCTY,The9  Limited ADRs,Information Technology,ADRs,Micro cap
SLGG,"Super League Gaming, Inc.",Communication Services,Common stocks,Micro cap
MSGM,Motorsport Games Inc. - Class A,Communication Services,Common stocks,Micro cap
GIGM,Gigamedia Limited,Information Technology,Common stocks,Micro cap
BHAT,Blue Hat Interactive Entertainment Technology,Communication Services,Common stocks,Micro cap
VS,Versus Systems Inc.,Communication Services,Common stocks,Micro cap
YVR,Liquid Media Group Ltd.,Consumer Discretionary,Common stocks,Micro cap
ARW,Arrow Electronics Inc,Information Technology,Common stocks,Mid cap
AVT,Avnet Inc,Information Technology,Common stocks,Mid cap
CNXN,"PC Connection, Inc.",Information Technology,Common stocks,Small cap
SCSC,Scansource Inc,Information Technology,Common stocks,Small cap
SNPO,Snap One Holdings Corp.,Consumer Discretionary,Common stocks,Small cap
WSTG,Wayside Technology Group Inc,Information Technology,Common stocks,Micro cap
