Symbol,Description,GICS sector,Category1,Category2,Category3,Market Cap,Average Volume,Actions
CFSB,"CFSB Bancorp, Inc.",Financials,US Equity,Common stocks,Micro cap,"$53,803,547","3,902",Analyze
BYFC,Broadway Financial Corp,Financials,US Equity,Common stocks,Micro cap,"$53,489,982","121,791",Analyze
IROQ,If Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$51,733,203","3,542",Analyze
HFBL,Home Federal Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$51,469,429","2,931",Analyze
BOTJ,Bank Of The James Financial Group,Financials,US Equity,Common stocks,Micro cap,"$51,007,800","11,010",Analyze
KFFB,Kentucky First Federal Bancorp,Financials,US Equity,Common stocks,Micro cap,"$50,149,960","4,345",Analyze
NSTS,"NSTS Bancorp, Inc.",Financials,US Equity,Common stocks,Micro cap,"$48,581,631","7,878",Analyze
TCBS,"Texas Community Bancshares, Inc.",Financials,US Equity,Common stocks,Micro cap,"$44,323,114","3,860",Analyze
CNNB,"Cincinnati Bancorp, Inc.",Financials,US Equity,Common stocks,Micro cap,"$43,149,811",607,Analyze
FUSB,First Us Bancshares Inc,Financials,US Equity,Common stocks,Micro cap,"$40,616,186","6,223",Analyze
PBBK,"PB Bankshares, Inc.",Financials,US Equity,Common stocks,Micro cap,"$37,804,562","7,174",Analyze
SI,Silvergate Capital Corporation Class A,Financials,US Equity,Common stocks,Micro cap,"$35,774,221","21,171,646",Analyze
PNBK,Patriot National Bancorp Inc,Financials,US Equity,Common stocks,Micro cap,"$35,417,558","18,183",Analyze
MSVB,Mid-Southern Bancorp Inc.,Financials,US Equity,Common stocks,Micro cap,"$33,574,156","6,965",Analyze
WVFC,Wvs Financial Corp,Financials,US Equity,Common stocks,Micro cap,"$28,185,826","3,378",Analyze
OPHC,Optimumbank Holdings Inc.,Financials,US Equity,Common stocks,Micro cap,"$24,563,742","13,929",Analyze
GBNY,"Generations Bancorp NY, Inc.",Financials,US Equity,Common stocks,Micro cap,"$24,290,936","1,734",Analyze
GLBZ,Glen Burie Bancorp,Financials,US Equity,Common stocks,Micro cap,"$20,943,486","4,232",Analyze
CARV,Carver Bancorp Inc.,Financials,US Equity,Common stocks,Micro cap,"$17,385,138","19,340",Analyze
JPM,JP Morgan Chase & Co,Financials,US Equity,Common stocks,Large cap,"$373,335,206,420","21,377,385",Analyze
BAC,Bank of America Corp,Financials,US Equity,Common stocks,Large cap,"$215,863,543,817","87,263,786",Analyze
WFC,Wells Fargo,Financials,US Equity,Common stocks,Large cap,"$138,279,185,456","34,383,049",Analyze
HSBC,HSBC Holdings PLC ADRs,Financials,US Equity,ADRs,Large cap,"$133,727,686,662","3,738,877",Analyze
RY,Royal Bank Of Canada,Financials,US Equity,Common stocks,Large cap,"$128,853,747,658","1,053,126",Analyze
TD,The Toronto-Dominion Bank,Financials,US Equity,Common stocks,Large cap,"$103,142,161,536","3,680,245",Analyze
C,Citigroup Inc,Financials,US Equity,Common stocks,Large cap,"$84,454,305,344","26,982,834",Analyze
MUFG,Mitsubishi UFJ Financial Group Inc. ADRs,Financials,US Equity,ADRs,Large cap,"$79,551,947,468","8,158,624",Analyze
UBS,UBS Group AG ADRs,Financials,US Equity,ADRs,Large cap,"$67,567,266,791","7,320,130",Analyze
BMO,Bank Of Montreal,Financials,US Equity,Common stocks,Large cap,"$60,170,513,132","722,971",Analyze
SAN,Banco Santander SA ADRs,Health Care,US Equity,ADRs,Large cap,"$58,612,461,528","7,766,905",Analyze
BNS,The Bank Of Nova Scotia,Financials,US Equity,Common stocks,Large cap,"$57,514,229,498","2,096,374",Analyze
SMFG,Sumitomo Mitsui Financial Group Inc ADRs,Financials,US Equity,ADRs,Large cap,"$53,750,425,685","5,533,997",Analyze
ING,ING Groep NV ADRs,Information Technology,US Equity,ADRs,Large cap,"$42,668,936,987","6,033,530",Analyze
BBVA,Banco Bilbao Vizcaya Argentaria SA ADRs,Financials,US Equity,ADRs,Large cap,"$40,884,190,304","2,307,259",Analyze
CM,Canadian Imperial Bank Of Commerce,Financials,US Equity,Common stocks,Large cap,"$37,743,499,651","1,616,645",Analyze
NWG,NatWest Group plc ADRs,Financials,US Equity,ADRs,Large cap,"$31,537,065,492","2,328,641",Analyze
BCS,Barclays PLC ADRs,Financials,US Equity,ADRs,Large cap,"$26,399,292,826","11,256,700",Analyze
NU,Nu Holdings Ltd. Class A,Financials,US Equity,Common stocks,Large cap,"$14,738,507,020","24,623,015",Analyze
EWBC,East West Bancorp Inc,Financials,US Equity,Common stocks,Mid cap,"$7,562,027,627","2,517,840",Analyze
CS,Credit Suisse Group AG ADRs,Financials,US Equity,ADRs,Mid cap,"$3,489,481,614","89,341,068",Analyze
NTB,Bank Of Nt Butterfield & Son Ltd,Financials,US Equity,Common stocks,Small cap,"$1,349,602,931","496,355",Analyze
BUD,Anheuser-Busch InBev SA/NV ADRs,Consumer Staples,US Equity,ADRs,Large cap,"$107,445,554,973","1,782,516",Analyze
ABEV,Ambev SA ADRs,Consumer Staples,US Equity,ADRs,Large cap,"$40,793,061,644","21,560,323",Analyze
FMX,Fomento Economico Mexicano SAB de CV ADRs,Consumer Staples,US Equity,ADRs,Large cap,"$19,033,492,620","594,116",Analyze
TAP,Molson Coors Brewing Class B,Consumer Staples,US Equity,Common stocks,Large cap,"$10,088,656,898","1,917,494",Analyze
TAP.A,Molson Coors Brewing Class A,Consumer Staples,US Equity,Common stocks,Large cap,"$10,088,656,898","3,118",Analyze
